时间,主题,内容
2020-12-29 11:08,#校园冬景图鉴#,❄️
2020-12-29 08:35,#早安，山大！#,"
在黑白里温柔地爱彩色，在彩色里朝圣黑白。——汪曾祺

早安，考试周加油噢！💪"
2020-12-28 23:21,#山大心语#,"胸中有丘壑，眉目作山河。
——李爱玲

姗姗今晚熬夜了，山竹们有按时睡觉吗？"
2020-12-28 20:13,#山大书屋#,"杨绛先生赠予年轻人的人生哲理，值得正在迷茫中挣扎的你细细品读。

（via@看书有道）"
2020-12-28 15:28,#姗姗话题圈#,考试周结束你第一件想去做的事是什么呢？
2020-12-28 14:33,#山大书屋#,"【诗歌|幸福的宇宙没有悲苦与忧愁】✨

人之所以能够感到“幸福”，不是因为生活得舒适，而是因为生活得有希望。
|帕乌斯托夫斯基

（via@新浪读书）"
2020-12-28 12:34,#快进2020#,2020进度条即将拉满，这一年也是有姗姗大山陪伴的一年，从早安到晚安，从每一天的话题圈互动到特殊节日的陪伴，从山川到河流，朝朝暮暮，我们都在身旁❤️
2020-12-28 09:04,#山大放映室#,"【是什么让粉色成为了女性的代表色】
在20世纪初期以及之前，谈到女性的“代表色”，有不少人的印象还是庄重又不失精巧的蓝色。《时代》杂志1927年的一项调查也显示粉色并非完全主流。

那么粉色是如何演变成为了现在的“女性代表色”呢？这还要追溯到1953年 艾森豪威尔 出任美国总统的 ...展开全文c"
2020-12-28 08:11,#早安，山大！#,"尽吾志也而不能至者，可以无悔矣！
——王安石

早安~"
2020-12-27 21:55,#山大心语#,"真正的阅读，
可以发生在喧嚣的人海，
也可以坐落在冷峻的沙漠。
——毕淑敏

夜幕降临，要做个美梦哦~"
2020-12-27 19:51,#每日山问#,学史上被称为“小李杜”的是杜牧和哪位诗人？ R山东大学的微博投票
2020-12-12 23:15,#山大心语#,"“不可能天天都是好日子，有了不顺心的日子，好日子才会闪闪发亮。”
——坂本健一
晚安😴"
2020-12-12 20:04,#每日山问#,：文化常识小考查：科举考试中称乡试的第一名为？ R山东大学的微博投票
2020-12-12 18:14,#六级答案#,
2020-12-12 15:42,#这就是北方人的快乐吗#,些快乐你都拥有了吗？
2020-12-12 14:51,#山大资讯#,"山东大学姜波教授当选国际古迹遗址理事会副主席
12月7日，第20届国际古迹遗址理事会（ICOMOS）全球大会举行第二次线上会议。经过选举，中国古迹遗址保护协会副理事长、山东大学姜波教授当选国际古迹遗址理事会（ICOMOS）副主席。
第20届国际古迹遗址理事会全球大会于12月3日开幕，上届主席 ...展开全文c"
2020-12-12 14:10,#新技能get√#,这些历年
2020-12-12 12:30,#四级翻译#,
2020-12-12 12:00,#姗姗话题圈#,收好这份
2020-12-12 11:22,#山大放映室#,"疫情隔离在家期间，小女孩和邮递员养成了默契，不管晴天雨天都要“隔窗斗舞”，邻居们也开始注意到这一对神奇的好朋友...一起来看看吧！
LYouTube精彩视频的微博视频
（via.@YouTube精彩视频）"
2020-12-12 09:43,#山大放映室#,【转！致敬！
2020-12-12 08:35,#新技能Get√#,这份
2020-12-12 07:52,#早安，山大！#,"“成功就是从失败到失败，也依然不减热情”
——丘吉尔
早安山竹们"
2020-12-9 15:41,#山大放映室#,【听！
2020-12-9 14:50,#山大书屋#,"推荐书目：《战火中的大学》
推荐原因：成仿吾同志提倡实事求是和独创精神，主张办适合中国国情有中国特色的教育。重视学生德智体全面发展、又红又专。他坚持学校工作要在党的领导下，发挥各级组织的作用和师生员工的积极性。尤其重视师资的培养和提高，要求教师言传身教、教书育人。本书 ...展开全文c"
2020-12-9 11:26,#新技能get√#,姗姗找来了英语语法易错知识点总结！ （via@学霸课长）
